time,odom-x,odom-y,est-x,est-y
27.300000000,0.0,0.0,-0.7614516154027626,-0.15558364866178565
27.400000000,0.0,0.0,-0.6184146198757698,-0.29412745381908856
27.500000000,0.0,0.0,-0.41445590330722126,-0.3181957357071621
27.600000000,0.0,0.0,-0.3818273003987649,-0.3897777992176472
28.0,0.0,0.0,-0.29746496276928625,-0.3724715006577437
28.600000000,0.0,0.0,-0.24426988409334527,-0.26725104175427816
28.700000000,0.0,0.0,-0.1527677254845159,-0.2019380329075613
28.900000000,0.0,0.0,-0.2455885861612046,-0.2895348745103856
29.100000000,0.0,0.0,-0.24898054376642875,-0.196025312510006
29.200000000,0.0,0.0,-0.15162000149206278,-0.17577695231288715
29.300000000,0.0,0.0,-0.16165480710264646,-0.22660108363817244
29.800000000,0.0,0.0,-0.05062001084799306,-0.1434504611518168
30.0,0.0,0.0,-0.12075522480385104,-0.11043098352837433
30.100000000,0.0,0.0,-0.05970576493156443,-0.10403822524641093
30.300000000,0.0,0.0,-0.026391972432801225,-0.09049380186400846
30.600000000,0.0,0.0,-0.015347717051245269,-0.06631133347339357
30.700000000,0.0,0.0,-0.02548617295415312,-0.08555876556145492
31.100000000,0.0,0.0,0.05966114340795059,-0.09315386412554716
31.200000000,0.0,0.0,-0.07014697884225995,-0.11179416080685733
31.400000000,0.0,0.0,-0.06280242226967658,-0.138491104998975
31.500000000,0.0,0.0,-0.07116497381533549,-0.12399920840109857
31.900000000,0.0,0.0,-0.01048888139016313,-0.0835963948879268
32.0,0.0,0.0,-0.07376633478852312,-0.12731097948416448
32.600000000,0.0,0.0,-0.06503624780055617,-0.09595457549245623
32.700000000,0.0,0.0,-0.040121093738200386,-0.07460400433858538
32.900000000,0.0,0.0,-0.06376683237591507,-0.06587820849791726
33.0,0.0,0.0,-0.04727747983284303,-0.049409529399698116
33.300000000,0.0,0.0,-0.02003399116496496,-0.11233273837248703
33.400000000,0.0,0.0,0.040869767668343826,-0.10568616751173465
33.800000000,0.0,0.0,-0.04661848935242929,-0.0767676830930153
34.0,0.0,0.0,-0.0838381766904952,-0.09443898719745114
34.300000000,0.0,0.0,0.0028375278999064335,-0.0747742719670299
34.800000000,0.0,0.0,-0.07265049332010065,-0.13197512023049285
36.600000000,0.0,0.0,-0.16883366550755952,-0.17359420526314295
37.200000000,0.0,0.0,-0.21955640112179253,-0.26720715533146233
37.400000000,0.0,0.0,-0.13971428671775854,-0.20264726061167693
37.800000000,0.0,0.0,-0.07130672762407997,-0.10861561313639534
38.0,0.2,0.0,0.01322827747429045,-0.18798220191034432
38.100000000,0.30000000000000004,0.0,0.1475753285410839,-0.18163239119305707
38.300000000,0.39997656225758094,-0.0021649478414150452,0.2699190737319661,-0.08248467902959788
38.500000000,0.599677870233336,-0.012881650767899303,0.4682427667730025,-0.045001674261085256
38.600000000,0.599677870233336,-0.012881650767899303,0.5954808261679112,-0.054832168881342014
38.800000000,0.599677870233336,-0.012881650767899303,0.6804484590656621,-0.032984650808627336
39.600000000,0.599677870233336,-0.012881650767899303,0.8037654551298168,0.012115102245864762
