time,diff
0,0.7551595372458836
1,0.34817847145636194
2,0.16880202300167385
3,0.12558947204478962
4,0.13833414729753812
5,0.10164055880301219
6,0.12937179422038672
7,0.10133202101553168
8,0.10020510034433035
9,0.12510441872712946
10,0.09484651237316238
11,0.09606495000484154
12,0.08758790587322236
13,0.09833589878439114
14,0.11353711180811628
15,0.1563780434898345
16,0.15468888105023718
17,0.1115032256290667
18,0.1860734490753254
19,0.09421347549786163
20,0.16799755326879265
21,0.10905312300385168
22,0.08603904164950141
23,0.08462221244341611
24,0.09175331158079532
25,0.19947985516306585
26,0.2432636595485789
27,0.2283315089851964
28,0.12722785405034143
29,0.16774814002450714
30,0.1565261900757139
31,0.15322317846844985
32,0.11806049287744642
33,0.1263382346507575
34,0.11844749243850511
35,0.161434659358843
36,0.16222115307445112
37,0.09489096873113095
38,0.12150984800015378
39,0.1481209903792755
40,0.11011231252168177
41,0.16010184792114127
42,0.1431096328496182
43,0.15248339952334708
44,0.18777262396305272
45,0.22258277307471286
46,0.22804085878202596
47,0.1997170488786018
48,0.266756284886028
49,0.1428897277222669
50,0.10748053934041278
51,0.12948755954811103
52,0.17958720323905977
53,0.21496819998350025
54,0.13201078285240203
55,0.15498469168497822
56,0.18556560499519115
57,0.18220301161226507
58,0.1580082684944694
59,0.12305771715289106
60,0.13243994701585204
61,0.16962784552223992
62,0.0824858810455053
63,0.10894047154835355
64,0.15385147060371163
65,0.1324112099290134
66,0.1170088332107615
67,0.14572972085776303
68,0.13431322676233157
69,0.1119035000999719
70,0.14390068211516305
71,0.17156179404383737
72,0.1442755070946223
73,0.13034848682200295
74,0.16286586619362803
75,0.14980603787953595
76,0.20322275220920047
77,0.16361691486354382
78,0.16376750916359661
79,0.1232072305340816
80,0.19108406500398478
81,0.13265334472089532
82,0.13994841040350275
83,0.14016268671304571
84,0.1652358107313695
85,0.19586209694309617
86,0.14843312254170238
87,0.17496489456561487
88,0.17186125252680232
89,0.19326143337335633
90,0.1587633426576609
91,0.1552387696606229
92,0.18791095988626275
93,0.1918055882958857
94,0.17030271859931093
95,0.17600770246811873
96,0.18950493999082
97,0.17394746724989246
98,0.2434526206041688
99,0.12682692600697623
100,0.1514763593166483
101,0.1928527196505537
102,0.1656375402310167
103,0.1517226286475099
104,0.2851332508527363
105,0.16066397807567884
106,0.18160146166196167
107,0.1391672168597117
108,0.1567650019723646
109,0.15889839292445895
110,0.12993742017833776
111,0.12298481776182148
112,0.16271284175420386
113,0.15938846197303652
114,0.2003615036917344
115,0.13585587440580976
116,0.16848834508913937
117,0.19559623025852382
118,0.1669000155342126
119,0.2106322250755511
120,0.11793027297634263
