time,odom-x,odom-y,est-x,est-y
18.400000000,0.0,0.0,-0.8773279201983435,-0.3635514433794871
18.500000000,0.0,0.0,-0.672760314859989,-0.4139915090659603
18.600000000,0.0,0.0,-0.44659011887270594,-0.26532192879522576
18.700000000,0.0,0.0,-0.5134100700932471,-0.3007436488324231
18.800000000,0.0,0.0,-0.4622329255982649,-0.46438807011684347
19.0,0.0,0.0,-0.37521023397592757,-0.3528226878359284
19.300000000,0.0,0.0,-0.259357996064967,-0.3278540246311916
19.400000000,0.0,0.0,-0.32773208181056646,-0.14335992709519374
19.700000000,0.0,0.0,-0.21730917364018154,-0.16789209044512354
20.200000000,0.0,0.0,-0.15493149031808784,-0.20615925497507348
20.500000000,0.0,0.0,-0.11220782536933527,-0.05721897763989503
20.800000000,0.0,0.0,-0.008505685620772141,-0.07337875410285122
21.0,0.0,0.0,0.01055911088910122,0.06539501942806147
21.300000000,0.0,0.0,0.048375780331145535,-0.05664659897217916
21.400000000,0.0,0.0,0.002083404338538486,0.06584634722646676
21.500000000,0.0,0.0,0.061952675277687774,-0.11832256645636363
21.600000000,0.0,0.0,0.081536805778331,-0.013154166314347293
21.900000000,0.0,0.0,0.15024258796717405,-0.09307796977771154
22.100000000,0.0,0.0,0.14251448732061434,0.025858903221488205
22.200000000,0.0,0.0,-0.000821522998869284,-0.08677148470142804
22.300000000,0.0,0.0,0.07601812921402029,0.038268275131370544
22.400000000,0.0,0.0,-0.07944490719605923,-0.08294319191240085
22.500000000,0.0,0.0,0.030675698414793118,0.06978049747264414
22.600000000,0.0,0.0,-0.028271285767100807,0.013944357259880746
22.800000000,0.0,0.0,0.01470149417158595,-0.09285000292053525
23.0,0.0,0.0,-0.07646366117355896,-0.025210120835598815
23.200000000,0.0,0.0,0.00764948359843487,-0.04857197397535984
23.300000000,0.0,0.0,-0.07968324485581846,-0.010248196430000078
23.400000000,0.0,0.0,-0.01766963606909755,-0.08106719877286217
23.700000000,0.0,0.0,-0.06065592176080514,0.01020629095423331
23.800000000,0.0,0.0,-0.028517654439617957,-0.1200345203951727
24.100000000,0.0,0.0,0.1018001968747626,-0.13147156013383743
24.300000000,0.0,0.0,0.06893904594586786,-0.017050420735481353
24.700000000,0.0,0.0,-0.11072560190228131,-0.11725451676997167
24.900000000,0.0,0.0,0.10358554850630242,-0.10486061167412508
25.0,0.0,0.0,-0.013188238889171089,-0.028829784991105
25.700000000,0.0,0.0,-0.0677842886471609,-0.09382181090745512
25.800000000,0.0,0.0,0.03897269152612992,-0.03453685972275977
26.100000000,0.0,0.0,-0.02305168213225528,-0.13763572742054642
26.200000000,0.0,0.0,0.0406813060348874,-0.038340311860944
26.700000000,0.0,0.0,0.09863398890290043,0.01453241026480434
26.900000000,0.0,0.0,0.04796569082052571,-0.05422372240899165
27.0,0.0,0.0,0.03953834251730726,0.04113952377208996
27.100000000,0.0,0.0,-0.010571434963722481,-0.07338648788278412
27.400000000,0.0,0.0,0.1223681990838692,0.026518965902715408
27.500000000,0.0,0.0,0.0425930870903386,-0.05392522812117129
27.600000000,0.0,0.0,0.13330730289752424,0.05441366711631623
27.700000000,0.0,0.0,0.07000708593539073,-0.007893006251206813
27.800000000,0.0,0.0,0.07074632698487449,0.17241525122447676
27.900000000,0.0,0.0,0.028455885405875847,-0.056404381092139744
28.0,0.0,0.0,0.12698344977992093,0.06386381559815568
28.300000000,0.0,0.0,0.009015998335598852,0.03332642309950806
28.400000000,0.0,0.0,-0.030355488563035493,-0.10109197375980727
28.600000000,0.0,0.0,-0.1316071432764545,-0.11376246687555103
28.700000000,0.0,0.0,0.008667095449151674,-0.08589041298790256
28.800000000,0.0,0.0,-0.029249758697059036,-0.022193936939808978
28.900000000,0.0,0.0,-0.14015010455277732,-0.09594650654982395
29.400000000,0.0,0.0,-0.02570059435036498,-0.0026569412930257386
29.500000000,0.0,0.0,-0.09029677112619439,-0.10527189487314281
29.800000000,0.0,0.0,0.02458490667359925,0.02149831826994486
30.0,0.0,0.0,-0.11848614658027046,-0.05885871007043342
30.400000000,0.0,0.0,0.0009233683029918893,-0.07619604834008697
30.500000000,0.0,0.0,-0.14379680100269354,-0.1018663597604057
30.700000000,0.0,0.0,-0.0957872032519198,-0.030419633110629007
30.800000000,0.0,0.0,-0.16328987060115807,-0.19123021723362932
31.200000000,0.0,0.0,-0.2714750347607193,-0.16643102236544038
31.400000000,0.0,0.0,-0.19830839288515278,-0.07342394542019548
31.500000000,0.0,0.0,-0.16766035999538076,-0.1434266210322246
31.900000000,0.0,0.0,-0.06640187036823164,-0.13982460504393046
32.200000000,0.0,0.0,0.02122342856442927,-0.007095996767786161
32.600000000,0.0,0.0,-0.10926408149467193,-0.06726706106755209
32.700000000,0.0,0.0,-0.13305934487192772,-0.14477732779273467
32.900000000,0.0,0.0,-0.02747694833265868,-0.08553738423702484
33.0,0.0,0.0,-0.1431458612804093,-0.12352008698849026
33.100000000,0.0,0.0,-0.03568103206962547,-0.06044450130825929
33.200000000,0.0,0.0,-0.0574252012157892,-0.1635557552425677
33.300000000,0.0,0.0,-0.05514599370899376,-0.035712361899204126
33.700000000,0.0,0.0,-0.09046125373645353,-0.14598725619281616
33.800000000,0.0,0.0,0.04581788244541585,0.010711010415182187
33.900000000,0.0,0.0,-0.0006711042007090384,-0.07260735976099042
34.0,0.0,0.0,-0.15837726807306396,-0.10533259985805898
34.100000000,0.0,0.0,-0.1049991524687428,0.035782834148799125
34.200000000,0.0,0.0,0.023355884490548817,-0.04562990311842441
