time,odom,est
<built-in function time>,0.0,-0.242530216432094
<built-in function time>,0.0,-0.17192859017654588
<built-in function time>,0.0,-0.09429142992145813
<built-in function time>,0.0,0.08512903090893967
<built-in function time>,0.0,0.08512903090893967
<built-in function time>,0.0,0.08512903090893967
<built-in function time>,0.0,-0.17740894656656497
<built-in function time>,0.0,0.00030729054350063024
<built-in function time>,-0.02165116995573044,-0.014471209733479977
<built-in function time>,-0.04295854642987252,0.013998539420230473
<built-in function time>,-0.04295854642987252,0.04217048447906717
<built-in function time>,-0.060998835414648074,-0.06069154487114742
<built-in function time>,-0.07576589569449425,-0.09023710542797422
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.08735778317910031
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
<built-in function time>,-0.08766507372260095,-0.1021362834560809
