time,odom,est
<built-in function time>,0.0,-0.34561870186067006
<built-in function time>,0.0,-0.14763569438060808
<built-in function time>,0.0,-0.14763569438060808
<built-in function time>,0.0,-0.14763569438060808
<built-in function time>,-0.026001648604869844,-0.1520701118667989
<built-in function time>,-0.026001648604869844,-0.17363734298547795
<built-in function time>,-0.026001648604869844,-0.17363734298547795
<built-in function time>,-0.046967087239027025,-0.17363734298547795
<built-in function time>,-0.0649457533657551,-0.19460278161963512
<built-in function time>,-0.0649457533657551,-0.21258144774636317
<built-in function time>,-0.0649457533657551,-0.21258144774636317
<built-in function time>,-0.0649457533657551,-0.21258144774636317
<built-in function time>,-0.0649457533657551,-0.21258144774636317
<built-in function time>,-0.0649457533657551,-0.21258144774636317
<built-in function time>,-0.07966443195939067,-0.21258144774636317
<built-in function time>,-0.07966443195939067,-0.22730012633999874
<built-in function time>,-0.07966443195939067,-0.22730012633999874
<built-in function time>,-0.07966443195939067,-0.22730012633999874
<built-in function time>,-0.09154701009392738,-0.22730012633999874
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09154701009392738,-0.2391827044745355
<built-in function time>,-0.09337938025593756,-0.2391827044745355
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.09337938025593756,-0.24101507463654567
<built-in function time>,-0.07261908128857612,-0.24101507463654567
<built-in function time>,-0.07261908128857612,-0.22025477566918425
<built-in function time>,-0.07261908128857612,-0.22025477566918425
<built-in function time>,-0.05156301930546761,-0.22025477566918425
<built-in function time>,-0.03040841773152351,-0.19919871368607572
<built-in function time>,-0.03040841773152351,-0.17804411211213161
<built-in function time>,-0.03040841773152351,-0.17804411211213161
<built-in function time>,-0.009096855670213698,-0.17804411211213161
<built-in function time>,-0.009096855670213698,-0.1567325500508218
<built-in function time>,-0.009096855670213698,-0.1567325500508218
<built-in function time>,-0.009096855670213698,-0.1567325500508218
<built-in function time>,-0.009096855670213698,-0.1567325500508218
<built-in function time>,-0.009096855670213698,-0.1567325500508218
<built-in function time>,0.013651639670133598,-0.1567325500508218
<built-in function time>,0.013651639670133598,-0.1339840547104745
<built-in function time>,0.03656229183077813,-0.1339840547104745
<built-in function time>,0.03656229183077813,-0.11107340254982999
<built-in function time>,0.03656229183077813,-0.11107340254982999
<built-in function time>,0.03656229183077813,-0.11107340254982999
<built-in function time>,0.03656229183077813,-0.11107340254982999
<built-in function time>,0.05957770988345147,-0.11107340254982999
<built-in function time>,0.08289062663912772,-0.08805798449715663
<built-in function time>,0.12998010322451597,-0.04112939336499262
<built-in function time>,0.12998010322451597,-0.01765559115609218
<built-in function time>,0.1532151381671429,-0.01765559115609218
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.1532151381671429,0.005579443786534784
<built-in function time>,0.17768297716975212,0.005579443786534784
<built-in function time>,0.17768297716975212,0.03004728278914405
<built-in function time>,0.17768297716975212,0.03004728278914405
<built-in function time>,0.20070770964026452,0.03004728278914405
<built-in function time>,0.20070770964026452,0.05307201525965642
<built-in function time>,0.20070770964026452,0.05307201525965642
<built-in function time>,0.22448421105742458,0.05307201525965642
<built-in function time>,0.22448421105742458,0.07684851667681648
<built-in function time>,0.22448421105742458,0.07684851667681648
<built-in function time>,0.24788815423846242,0.07684851667681648
<built-in function time>,0.24788815423846242,0.10025245985785436
<built-in function time>,0.24788815423846242,0.10025245985785436
<built-in function time>,0.24788815423846242,0.10025245985785436
<built-in function time>,0.2716760520637036,0.10025245985785436
<built-in function time>,0.2716760520637036,0.12404035768309549
<built-in function time>,0.2716760520637036,0.12404035768309549
<built-in function time>,0.2716760520637036,0.12404035768309549
<built-in function time>,0.29479565069079405,0.12404035768309549
<built-in function time>,0.29479565069079405,0.14715995631018594
<built-in function time>,0.29479565069079405,0.14715995631018594
<built-in function time>,0.29479565069079405,0.14715995631018594
<built-in function time>,0.29479565069079405,0.14715995631018594
<built-in function time>,0.31495197936892516,0.14715995631018594
<built-in function time>,0.31495197936892516,0.16731628498831705
<built-in function time>,0.31495197936892516,0.16731628498831705
<built-in function time>,0.33490566536784167,0.16731628498831705
<built-in function time>,0.33490566536784167,0.1872699709872337
<built-in function time>,0.35473739489913,0.20710170051852192
<built-in function time>,0.35473739489913,0.20710170051852192
<built-in function time>,0.3744984732568264,0.20710170051852192
<built-in function time>,0.3744984732568264,0.22686277887621834
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.39379247531294825,0.24615678093234017
<built-in function time>,0.4131665657460689,0.24615678093234017
<built-in function time>,0.4131665657460689,0.26553087136546083
<built-in function time>,0.4131665657460689,0.26553087136546083
<built-in function time>,0.4131665657460689,0.26553087136546083
<built-in function time>,0.4131665657460689,0.26553087136546083
