time,odom,est
<built-in function time>,0.0,-0.08156711595501256
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,-0.15760282525280123
<built-in function time>,0.0,-0.08156711595501256
<built-in function time>,0.0,-0.041135807626618996
<built-in function time>,0.0,-0.05108340242734773
<built-in function time>,0.0,-0.041135807626618996
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,-0.05108340242734773
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,-0.06393091530946865
<built-in function time>,0.0,-0.06393091530946865
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,-0.036369307319766654
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.0452414406098685
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
<built-in function time>,0.0,0.011329764975834114
