time,odom,est
<built-in function time>,0.0,0.005004616445010583
<built-in function time>,0.0,-0.13187763872179897
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.0,0.09161938146619861
<built-in function time>,0.00746015191078186,0.09161938146619861
<built-in function time>,-0.014688028097152712,-0.1086807643544727
<built-in function time>,-0.036836208105087274,0.0769313533690459
<built-in function time>,-0.05520074993371965,0.05478317336111135
<built-in function time>,-0.07030162364244462,0.03641863153247898
<built-in function time>,-0.08540249735116959,0.021317757823754
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,-0.018930289560279066
<built-in function time>,-0.08540249735116959,-0.018930289560279066
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,-0.018930289560279066
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,0.006216884115029018
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.07134123846000785
<built-in function time>,-0.08540249735116959,-0.06482670984789729
<built-in function time>,-0.08540249735116959,-0.06482670984789729
