time,odom,est
<built-in function time>,0.0,0.07091695699697421
<built-in function time>,0.0,0.08371542909305311
<built-in function time>,0.0,0.09607265128757517
<built-in function time>,0.0,0.09814959265873349
<built-in function time>,0.0,0.10549610674952858
<built-in function time>,0.0,0.09401586550361625
<built-in function time>,0.0,0.0686860588405397
<built-in function time>,0.0,0.06309456305924149
<built-in function time>,0.0,0.04733633336131746
<built-in function time>,0.0,0.04101094568108575
<built-in function time>,0.0,0.031625431113802276
<built-in function time>,0.0,0.01782493389195281
<built-in function time>,0.0,0.016650854719717896
<built-in function time>,0.0,0.01574896158703243
<built-in function time>,0.00746015191078186,0.02320911349781429
<built-in function time>,-0.014688028097152712,0.02320911349781429
<built-in function time>,-0.03600213065743447,0.0010609334898797078
<built-in function time>,-0.05434968873858452,-0.020253169070402005
<built-in function time>,-0.06944130703806875,-0.03860072715155205
<built-in function time>,-0.0819912301003933,-0.06624226851336115
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.09108887478709224,-0.07533991320005956
<built-in function time>,-0.08904045388102531,-0.07533991320005956
<built-in function time>,-0.08904045388102531,-0.07329149229399322
<built-in function time>,-0.08904045388102531,-0.07329149229399322
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.08193027421832084,-0.06618131263128829
<built-in function time>,-0.06261431857943534,-0.04686535699240295
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.04365371748805045,-0.02790475590101797
<built-in function time>,-0.0026859025657176884,-0.007897550891557577
<built-in function time>,0.018737557679414756,0.013063059021314763
<built-in function time>,0.06327577665448195,0.05664891855843924
<built-in function time>,0.10900257781147957,0.10168393986352348
<built-in function time>,0.10900257781147957,0.12475153939851231
<built-in function time>,0.13193078055977828,0.14767974214681018
<built-in function time>,0.15490720286965368,0.17065616445668677
<built-in function time>,0.17840662613511094,0.19415558772214328
<built-in function time>,0.20236085489392291,0.21810981648095462
<built-in function time>,0.22518388107419016,0.24093284266122325
<built-in function time>,0.22518388107419016,0.24093284266122325
<built-in function time>,0.24858591809868819,0.24093284266122325
<built-in function time>,0.24858591809868819,0.2643348796857201
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.2713213832676411,0.2870703448546745
<built-in function time>,0.31359138622879984,0.31019427375920794
<built-in function time>,0.3335612930357458,0.32934034781583127
<built-in function time>,0.3526337845623494,0.3493102546227787
<built-in function time>,0.37240073457360273,0.3683827461493806
<built-in function time>,0.39171517446637166,0.38814969616063727
<built-in function time>,0.4111082251369954,0.40746413605340565
<built-in function time>,0.47423141911625877,0.45459856109746505
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.49251080408692366,0.5082597656739553
<built-in function time>,0.6097917701303962,0.5867213262809118
<built-in function time>,0.6733210237324239,0.6527544518006635
<built-in function time>,0.6733210237324239,0.6890699853194601
<built-in function time>,0.7421781618893151,0.7239532454503412
<built-in function time>,0.7421781618893151,0.757927123476349
<built-in function time>,0.7752679772675043,0.7910169388545392
<built-in function time>,0.7752679772675043,0.7910169388545392
<built-in function time>,0.8082576544582849,0.8240066160453213
<built-in function time>,0.8713127215206626,0.8870616831076953
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
<built-in function time>,0.8989562971889978,0.9147052587760267
