time,odom,est
<built-in function time>,0.0,0.06128119553814258
<built-in function time>,0.0,0.0706363243896
<built-in function time>,0.0,0.05942017996895496
<built-in function time>,0.0,0.045962763371710035
<built-in function time>,0.0,0.04558316740834457
<built-in function time>,0.0,0.03713789239421448
<built-in function time>,0.0,0.027557167286605608
<built-in function time>,0.0,0.025693947840468495
<built-in function time>,0.0,0.023667662518876982
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,0.0,0.02305977692239954
<built-in function time>,-0.0044344174861907955,0.02305977692239954
<built-in function time>,-0.026001648604869844,0.018625359436208792
<built-in function time>,-0.0475688797235489,-0.0029418716824703515
<built-in function time>,-0.06555626690387725,-0.024509102801149384
<built-in function time>,-0.08354365408420565,-0.04249648998147764
<built-in function time>,-0.09505551815032957,-0.07199574122792998
<built-in function time>,-0.09505551815032957,-0.07199574122792998
<built-in function time>,-0.10031675934791566,-0.07725698242551585
<built-in function time>,-0.10031675934791566,-0.07725698242551585
<built-in function time>,-0.10031675934791566,-0.07725698242551585
<built-in function time>,-0.10031675934791566,-0.07725698242551585
<built-in function time>,-0.09976835727691655,-0.07670858035451682
<built-in function time>,-0.09976835727691655,-0.07670858035451682
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.09760449647903445,-0.07454471955663466
<built-in function time>,-0.08318198680877686,-0.0689002586401161
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.08318198680877686,-0.06012220988637709
<built-in function time>,-0.06907490968704223,-0.04601513276464258
<built-in function time>,-0.03702106118202211,-0.030405520299737816
<built-in function time>,-0.00039633512496948386,0.0041031478845424425
<built-in function time>,0.03882010221481324,0.04201829781168167
<built-in function time>,0.03882010221481324,0.06187987913721262
<built-in function time>,0.05944678068161011,0.08250655760400959
<built-in function time>,0.10157757282257081,0.10340891708963566
<built-in function time>,0.10157757282257081,0.12463734974496993
<built-in function time>,0.10157757282257081,0.12463734974496993
<built-in function time>,0.12350914239883423,0.12463734974496993
<built-in function time>,0.12350914239883423,0.14656891932123345
<built-in function time>,0.14560205936431891,0.168661836286719
<built-in function time>,0.16792379975318916,0.1909835766755889
<built-in function time>,0.16792379975318916,0.1909835766755889
<built-in function time>,0.16792379975318916,0.1909835766755889
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.19073980212211614,0.2137995790445162
<built-in function time>,0.23753252506256112,0.23735422899358888
<built-in function time>,0.23753252506256112,0.2605923019849619
<built-in function time>,0.28409442484378833,0.284154856105978
<built-in function time>,0.3070947921276093,0.30715420176618824
<built-in function time>,0.3070947921276093,0.3301545690500091
<built-in function time>,0.3070947921276093,0.3301545690500091
<built-in function time>,0.3259011518955232,0.3489609288179229
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.3440856170654297,0.3671453939878277
<built-in function time>,0.38276591598987586,0.3867111306392503
<built-in function time>,0.38276591598987586,0.40582569291227455
<built-in function time>,0.43876110255718237,0.4618208794795798
<built-in function time>,0.4736820131540301,0.4967417900764283
<built-in function time>,0.4736820131540301,0.4967417900764283
<built-in function time>,0.4736820131540301,0.4967417900764283
<built-in function time>,0.4736820131540301,0.4967417900764283
<built-in function time>,0.4736820131540301,0.4967417900764283
